user_id,amount,category,frequency,due_day,is_paid,description
1,733.93,RENT,MONTHLY,24,False,Rent
1,28.07,INTERNET,MONTHLY,24,False,Internet
1,56.77,WATER,MONTHLY,3,False,Water
1,59.52,INSURANCE,MONTHLY,2,False,Insurance
2,38.48,INTERNET,MONTHLY,9,False,Internet
2,70.47,INSURANCE,MONTHLY,1,False,Insurance
2,42.76,PHONE,MONTHLY,6,False,Phone
2,1018.88,RENT,MONTHLY,11,False,Rent
3,921.74,RENT,MONTHLY,13,False,Rent
3,22.36,PHONE,MONTHLY,10,False,Phone
4,822.11,RENT,MONTHLY,7,False,Rent
4,50.11,WATER,MONTHLY,23,False,Water
4,145.57,ELECTRICITY,MONTHLY,21,False,Electricity
5,41.45,INSURANCE,MONTHLY,2,False,Insurance
5,136.35,ELECTRICITY,MONTHLY,13,False,Electricity
5,38.03,WATER,MONTHLY,7,False,Water
5,1147.88,RENT,MONTHLY,19,False,Rent
6,1138.69,RENT,MONTHLY,13,False,Rent
6,48.1,INSURANCE,MONTHLY,5,False,Insurance
6,35.29,PHONE,MONTHLY,3,False,Phone
7,1182.65,RENT,MONTHLY,28,False,Rent
7,48.27,PHONE,MONTHLY,22,False,Phone
7,51.62,WATER,MONTHLY,22,False,Water
8,824.35,RENT,MONTHLY,6,False,Rent
8,46.18,WATER,MONTHLY,25,False,Water
8,144.57,ELECTRICITY,MONTHLY,1,False,Electricity
8,42.97,INTERNET,MONTHLY,16,False,Internet
9,1089.61,RENT,MONTHLY,25,False,Rent
9,35.98,PHONE,MONTHLY,5,False,Phone
10,1197.09,RENT,MONTHLY,21,False,Rent
10,106.14,ELECTRICITY,MONTHLY,17,False,Electricity
10,43.54,WATER,MONTHLY,8,False,Water
10,41.23,INSURANCE,MONTHLY,11,False,Insurance
11,642.51,RENT,MONTHLY,8,False,Rent
11,38.35,WATER,MONTHLY,16,False,Water
12,812.58,RENT,MONTHLY,14,False,Rent
12,34.01,PHONE,MONTHLY,24,False,Phone
13,28.36,PHONE,MONTHLY,8,False,Phone
13,141.21,ELECTRICITY,MONTHLY,3,False,Electricity
13,38.29,INTERNET,MONTHLY,28,False,Internet
13,1113.58,RENT,MONTHLY,4,False,Rent
14,601.29,RENT,MONTHLY,13,False,Rent
14,98.56,ELECTRICITY,MONTHLY,26,False,Electricity
14,43.55,PHONE,MONTHLY,10,False,Phone
15,886.07,RENT,MONTHLY,28,False,Rent
15,56.56,INSURANCE,MONTHLY,2,False,Insurance
16,50.96,INSURANCE,MONTHLY,19,False,Insurance
16,939.14,RENT,MONTHLY,11,False,Rent
17,972.7,RENT,MONTHLY,19,False,Rent
17,54.88,INTERNET,MONTHLY,3,False,Internet
17,36.13,PHONE,MONTHLY,17,False,Phone
18,63.39,INSURANCE,MONTHLY,18,False,Insurance
