user_id,category,suggested_amount,actual_amount,month
1,Food,1086.48,0,2024-08
1,Travel,543.24,0,2024-08
1,Leisure,1086.48,0,2024-08
1,Education,362.16,0,2024-08
1,Other,543.24,0,2024-08
1,Food,1086.48,0,2024-09
1,Travel,543.24,0,2024-09
1,Leisure,1086.48,0,2024-09
1,Education,362.16,0,2024-09
1,Other,543.24,0,2024-09
1,Food,1086.48,0,2024-10
1,Travel,543.24,0,2024-10
1,Leisure,1086.48,0,2024-10
1,Education,362.16,0,2024-10
1,Other,543.24,0,2024-10
1,Food,1086.48,0,2024-11
1,Travel,543.24,0,2024-11
1,Leisure,1086.48,0,2024-11
1,Education,362.16,0,2024-11
1,Other,543.24,0,2024-11
1,Food,1086.48,0,2024-12
1,Travel,543.24,0,2024-12
1,Leisure,1086.48,0,2024-12
1,Education,362.16,0,2024-12
1,Other,543.24,0,2024-12
1,Food,1086.48,0,2025-01
1,Travel,543.24,0,2025-01
1,Leisure,1086.48,0,2025-01
1,Education,362.16,0,2025-01
1,Other,543.24,0,2025-01
2,Food,804.96,0,2024-08
2,Travel,402.48,0,2024-08
2,Leisure,804.96,0,2024-08
2,Education,268.32,0,2024-08
2,Other,402.48,0,2024-08
2,Food,804.96,0,2024-09
2,Travel,402.48,0,2024-09
2,Leisure,804.96,0,2024-09
2,Education,268.32,0,2024-09
2,Other,402.48,0,2024-09
2,Food,804.96,0,2024-10
2,Travel,402.48,0,2024-10
2,Leisure,804.96,0,2024-10
2,Education,268.32,0,2024-10
2,Other,402.48,0,2024-10
2,Food,804.96,0,2024-11
2,Travel,402.48,0,2024-11
2,Leisure,804.96,0,2024-11
2,Education,268.32,0,2024-11
2,Other,402.48,0,2024-11
2,Food,804.96,0,2024-12
2,Travel,402.48,0,2024-12
2,Leisure,804.96,0,2024-12
2,Education,268.32,0,2024-12
2,Other,402.48,0,2024-12
2,Food,804.96,0,2025-01
2,Travel,402.48,0,2025-01
2,Leisure,804.96,0,2025-01
2,Education,268.32,0,2025-01
2,Other,402.48,0,2025-01
3,Food,766.09,0,2024-08
3,Travel,383.04,0,2024-08
3,Leisure,766.09,0,2024-08
3,Education,255.36,0,2024-08
3,Other,383.04,0,2024-08
3,Food,766.09,0,2024-09
3,Travel,383.04,0,2024-09
3,Leisure,766.09,0,2024-09
3,Education,255.36,0,2024-09
3,Other,383.04,0,2024-09
3,Food,766.09,0,2024-10
3,Travel,383.04,0,2024-10
3,Leisure,766.09,0,2024-10
3,Education,255.36,0,2024-10
3,Other,383.04,0,2024-10
3,Food,766.09,0,2024-11
3,Travel,383.04,0,2024-11
3,Leisure,766.09,0,2024-11
3,Education,255.36,0,2024-11
3,Other,383.04,0,2024-11
3,Food,766.09,0,2024-12
3,Travel,383.04,0,2024-12
3,Leisure,766.09,0,2024-12
3,Education,255.36,0,2024-12
3,Other,383.04,0,2024-12
3,Food,766.09,0,2025-01
3,Travel,383.04,0,2025-01
3,Leisure,766.09,0,2025-01
3,Education,255.36,0,2025-01
3,Other,383.04,0,2025-01
4,Food,79.88,0,2024-08
4,Travel,39.94,0,2024-08
4,Leisure,79.88,0,2024-08
4,Education,26.63,0,2024-08
4,Other,39.94,0,2024-08
4,Food,79.88,0,2024-09
4,Travel,39.94,0,2024-09
4,Leisure,79.88,0,2024-09
4,Education,26.63,0,2024-09
4,Other,39.94,0,2024-09
4,Food,79.88,0,2024-10
4,Travel,39.94,0,2024-10
4,Leisure,79.88,0,2024-10
4,Education,26.63,0,2024-10
4,Other,39.94,0,2024-10
4,Food,79.88,0,2024-11
4,Travel,39.94,0,2024-11
4,Leisure,79.88,0,2024-11
4,Education,26.63,0,2024-11
4,Other,39.94,0,2024-11
4,Food,79.88,0,2024-12
4,Travel,39.94,0,2024-12
4,Leisure,79.88,0,2024-12
4,Education,26.63,0,2024-12
4,Other,39.94,0,2024-12
4,Food,79.88,0,2025-01
4,Travel,39.94,0,2025-01
4,Leisure,79.88,0,2025-01
4,Education,26.63,0,2025-01
4,Other,39.94,0,2025-01
5,Food,1896.95,0,2024-08
5,Travel,948.48,0,2024-08
5,Leisure,1896.95,0,2024-08
5,Education,632.32,0,2024-08
5,Other,948.48,0,2024-08
5,Food,1896.95,0,2024-09
5,Travel,948.48,0,2024-09
5,Leisure,1896.95,0,2024-09
5,Education,632.32,0,2024-09
5,Other,948.48,0,2024-09
5,Food,1896.95,0,2024-10
5,Travel,948.48,0,2024-10
5,Leisure,1896.95,0,2024-10
5,Education,632.32,0,2024-10
5,Other,948.48,0,2024-10
5,Food,1896.95,0,2024-11
5,Travel,948.48,0,2024-11
5,Leisure,1896.95,0,2024-11
5,Education,632.32,0,2024-11
5,Other,948.48,0,2024-11
5,Food,1896.95,0,2024-12
5,Travel,948.48,0,2024-12
5,Leisure,1896.95,0,2024-12
5,Education,632.32,0,2024-12
5,Other,948.48,0,2024-12
5,Food,1896.95,0,2025-01
5,Travel,948.48,0,2025-01
5,Leisure,1896.95,0,2025-01
5,Education,632.32,0,2025-01
5,Other,948.48,0,2025-01
6,Food,814.05,0,2024-08
6,Travel,407.03,0,2024-08
6,Leisure,814.05,0,2024-08
6,Education,271.35,0,2024-08
6,Other,407.03,0,2024-08
6,Food,814.05,0,2024-09
6,Travel,407.03,0,2024-09
6,Leisure,814.05,0,2024-09
6,Education,271.35,0,2024-09
6,Other,407.03,0,2024-09
6,Food,814.05,0,2024-10
6,Travel,407.03,0,2024-10
6,Leisure,814.05,0,2024-10
6,Education,271.35,0,2024-10
6,Other,407.03,0,2024-10
6,Food,814.05,0,2024-11
6,Travel,407.03,0,2024-11
6,Leisure,814.05,0,2024-11
6,Education,271.35,0,2024-11
6,Other,407.03,0,2024-11
6,Food,814.05,0,2024-12
6,Travel,407.03,0,2024-12
6,Leisure,814.05,0,2024-12
6,Education,271.35,0,2024-12
6,Other,407.03,0,2024-12
6,Food,814.05,0,2025-01
6,Travel,407.03,0,2025-01
6,Leisure,814.05,0,2025-01
6,Education,271.35,0,2025-01
6,Other,407.03,0,2025-01
7,Food,1501.63,0,2024-08
7,Travel,750.82,0,2024-08
7,Leisure,1501.63,0,2024-08
7,Education,500.55,0,2024-08
7,Other,750.82,0,2024-08
7,Food,1501.63,0,2024-09
7,Travel,750.82,0,2024-09
7,Leisure,1501.63,0,2024-09
7,Education,500.55,0,2024-09
7,Other,750.82,0,2024-09
7,Food,1501.63,0,2024-10
7,Travel,750.82,0,2024-10
7,Leisure,1501.63,0,2024-10
7,Education,500.55,0,2024-10
7,Other,750.82,0,2024-10
7,Food,1501.63,0,2024-11
7,Travel,750.82,0,2024-11
7,Leisure,1501.63,0,2024-11
7,Education,500.55,0,2024-11
7,Other,750.82,0,2024-11
7,Food,1501.63,0,2024-12
7,Travel,750.82,0,2024-12
7,Leisure,1501.63,0,2024-12
7,Education,500.55,0,2024-12
7,Other,750.82,0,2024-12
7,Food,1501.63,0,2025-01
7,Travel,750.82,0,2025-01
7,Leisure,1501.63,0,2025-01
7,Education,500.55,0,2025-01
7,Other,750.82,0,2025-01
8,Food,243.82,0,2024-08
8,Travel,121.91,0,2024-08
8,Leisure,243.82,0,2024-08
8,Education,81.27,0,2024-08
8,Other,121.91,0,2024-08
8,Food,243.82,0,2024-09
8,Travel,121.91,0,2024-09
8,Leisure,243.82,0,2024-09
8,Education,81.27,0,2024-09
8,Other,121.91,0,2024-09
8,Food,243.82,0,2024-10
8,Travel,121.91,0,2024-10
8,Leisure,243.82,0,2024-10
8,Education,81.27,0,2024-10
8,Other,121.91,0,2024-10
8,Food,243.82,0,2024-11
8,Travel,121.91,0,2024-11
8,Leisure,243.82,0,2024-11
8,Education,81.27,0,2024-11
8,Other,121.91,0,2024-11
8,Food,243.82,0,2024-12
8,Travel,121.91,0,2024-12
8,Leisure,243.82,0,2024-12
8,Education,81.27,0,2024-12
8,Other,121.91,0,2024-12
8,Food,243.82,0,2025-01
8,Travel,121.91,0,2025-01
8,Leisure,243.82,0,2025-01
8,Education,81.27,0,2025-01
8,Other,121.91,0,2025-01
9,Food,835.11,0,2024-08
9,Travel,417.55,0,2024-08
9,Leisure,835.11,0,2024-08
9,Education,278.37,0,2024-08
9,Other,417.55,0,2024-08
9,Food,835.11,0,2024-09
9,Travel,417.55,0,2024-09
9,Leisure,835.11,0,2024-09
9,Education,278.37,0,2024-09
9,Other,417.55,0,2024-09
9,Food,835.11,0,2024-10
9,Travel,417.55,0,2024-10
9,Leisure,835.11,0,2024-10
9,Education,278.37,0,2024-10
9,Other,417.55,0,2024-10
9,Food,835.11,0,2024-11
9,Travel,417.55,0,2024-11
9,Leisure,835.11,0,2024-11
9,Education,278.37,0,2024-11
9,Other,417.55,0,2024-11
9,Food,835.11,0,2024-12
9,Travel,417.55,0,2024-12
9,Leisure,835.11,0,2024-12
9,Education,278.37,0,2024-12
9,Other,417.55,0,2024-12
9,Food,835.11,0,2025-01
9,Travel,417.55,0,2025-01
9,Leisure,835.11,0,2025-01
9,Education,278.37,0,2025-01
9,Other,417.55,0,2025-01
10,Food,1635.64,0,2024-08
10,Travel,817.82,0,2024-08
10,Leisure,1635.64,0,2024-08
10,Education,545.21,0,2024-08
10,Other,817.82,0,2024-08
10,Food,1635.64,0,2024-09
10,Travel,817.82,0,2024-09
10,Leisure,1635.64,0,2024-09
10,Education,545.21,0,2024-09
10,Other,817.82,0,2024-09
10,Food,1635.64,0,2024-10
10,Travel,817.82,0,2024-10
10,Leisure,1635.64,0,2024-10
10,Education,545.21,0,2024-10
10,Other,817.82,0,2024-10
10,Food,1635.64,0,2024-11
10,Travel,817.82,0,2024-11
10,Leisure,1635.64,0,2024-11
10,Education,545.21,0,2024-11
10,Other,817.82,0,2024-11
10,Food,1635.64,0,2024-12
10,Travel,817.82,0,2024-12
10,Leisure,1635.64,0,2024-12
10,Education,545.21,0,2024-12
10,Other,817.82,0,2024-12
10,Food,1635.64,0,2025-01
10,Travel,817.82,0,2025-01
10,Leisure,1635.64,0,2025-01
10,Education,545.21,0,2025-01
10,Other,817.82,0,2025-01
11,Food,1720.09,0,2024-08
11,Travel,491.45,0,2024-08
11,Leisure,737.18,0,2024-08
11,Education,982.91,0,2024-08
11,Other,982.91,0,2024-08
11,Food,1720.09,0,2024-09
11,Travel,491.45,0,2024-09
11,Leisure,737.18,0,2024-09
11,Education,982.91,0,2024-09
11,Other,982.91,0,2024-09
11,Food,1720.09,0,2024-10
11,Travel,491.45,0,2024-10
11,Leisure,737.18,0,2024-10
11,Education,982.91,0,2024-10
11,Other,982.91,0,2024-10
11,Food,1720.09,0,2024-11
11,Travel,491.45,0,2024-11
11,Leisure,737.18,0,2024-11
11,Education,982.91,0,2024-11
11,Other,982.91,0,2024-11
11,Food,1720.09,0,2024-12
11,Travel,491.45,0,2024-12
11,Leisure,737.18,0,2024-12
11,Education,982.91,0,2024-12
11,Other,982.91,0,2024-12
11,Food,1720.09,0,2025-01
11,Travel,491.45,0,2025-01
11,Leisure,737.18,0,2025-01
11,Education,982.91,0,2025-01
11,Other,982.91,0,2025-01
12,Food,1282.46,0,2024-08
12,Travel,366.42,0,2024-08
12,Leisure,549.63,0,2024-08
12,Education,732.83,0,2024-08
12,Other,732.83,0,2024-08
12,Food,1282.46,0,2024-09
12,Travel,366.42,0,2024-09
12,Leisure,549.63,0,2024-09
12,Education,732.83,0,2024-09
12,Other,732.83,0,2024-09
12,Food,1282.46,0,2024-10
12,Travel,366.42,0,2024-10
12,Leisure,549.63,0,2024-10
12,Education,732.83,0,2024-10
12,Other,732.83,0,2024-10
12,Food,1282.46,0,2024-11
12,Travel,366.42,0,2024-11
12,Leisure,549.63,0,2024-11
12,Education,732.83,0,2024-11
12,Other,732.83,0,2024-11
12,Food,1282.46,0,2024-12
12,Travel,366.42,0,2024-12
12,Leisure,549.63,0,2024-12
12,Education,732.83,0,2024-12
12,Other,732.83,0,2024-12
12,Food,1282.46,0,2025-01
12,Travel,366.42,0,2025-01
12,Leisure,549.63,0,2025-01
12,Education,732.83,0,2025-01
12,Other,732.83,0,2025-01
13,Food,1372.3,0,2024-08
13,Travel,392.09,0,2024-08
13,Leisure,588.13,0,2024-08
13,Education,784.17,0,2024-08
13,Other,784.17,0,2024-08
13,Food,1372.3,0,2024-09
13,Travel,392.09,0,2024-09
13,Leisure,588.13,0,2024-09
13,Education,784.17,0,2024-09
13,Other,784.17,0,2024-09
13,Food,1372.3,0,2024-10
13,Travel,392.09,0,2024-10
13,Leisure,588.13,0,2024-10
13,Education,784.17,0,2024-10
13,Other,784.17,0,2024-10
13,Food,1372.3,0,2024-11
13,Travel,392.09,0,2024-11
13,Leisure,588.13,0,2024-11
13,Education,784.17,0,2024-11
13,Other,784.17,0,2024-11
13,Food,1372.3,0,2024-12
13,Travel,392.09,0,2024-12
13,Leisure,588.13,0,2024-12
13,Education,784.17,0,2024-12
13,Other,784.17,0,2024-12
13,Food,1372.3,0,2025-01
13,Travel,392.09,0,2025-01
13,Leisure,588.13,0,2025-01
13,Education,784.17,0,2025-01
13,Other,784.17,0,2025-01
14,Food,556.7,0,2024-08
14,Travel,159.06,0,2024-08
14,Leisure,238.58,0,2024-08
14,Education,318.11,0,2024-08
14,Other,318.11,0,2024-08
14,Food,556.7,0,2024-09
14,Travel,159.06,0,2024-09
14,Leisure,238.58,0,2024-09
14,Education,318.11,0,2024-09
14,Other,318.11,0,2024-09
14,Food,556.7,0,2024-10
14,Travel,159.06,0,2024-10
14,Leisure,238.58,0,2024-10
14,Education,318.11,0,2024-10
14,Other,318.11,0,2024-10
14,Food,556.7,0,2024-11
14,Travel,159.06,0,2024-11
14,Leisure,238.58,0,2024-11
14,Education,318.11,0,2024-11
14,Other,318.11,0,2024-11
14,Food,556.7,0,2024-12
14,Travel,159.06,0,2024-12
14,Leisure,238.58,0,2024-12
14,Education,318.11,0,2024-12
14,Other,318.11,0,2024-12
14,Food,556.7,0,2025-01
14,Travel,159.06,0,2025-01
14,Leisure,238.58,0,2025-01
14,Education,318.11,0,2025-01
14,Other,318.11,0,2025-01
15,Food,1770.99,0,2024-08
15,Travel,506.0,0,2024-08
15,Leisure,758.99,0,2024-08
15,Education,1011.99,0,2024-08
15,Other,1011.99,0,2024-08
15,Food,1770.99,0,2024-09
15,Travel,506.0,0,2024-09
15,Leisure,758.99,0,2024-09
15,Education,1011.99,0,2024-09
15,Other,1011.99,0,2024-09
15,Food,1770.99,0,2024-10
15,Travel,506.0,0,2024-10
15,Leisure,758.99,0,2024-10
15,Education,1011.99,0,2024-10
15,Other,1011.99,0,2024-10
15,Food,1770.99,0,2024-11
15,Travel,506.0,0,2024-11
15,Leisure,758.99,0,2024-11
15,Education,1011.99,0,2024-11
15,Other,1011.99,0,2024-11
15,Food,1770.99,0,2024-12
15,Travel,506.0,0,2024-12
15,Leisure,758.99,0,2024-12
15,Education,1011.99,0,2024-12
15,Other,1011.99,0,2024-12
15,Food,1770.99,0,2025-01
15,Travel,506.0,0,2025-01
15,Leisure,758.99,0,2025-01
15,Education,1011.99,0,2025-01
15,Other,1011.99,0,2025-01
16,Food,1430.8,0,2024-08
16,Travel,408.8,0,2024-08
16,Leisure,613.2,0,2024-08
16,Education,817.6,0,2024-08
16,Other,817.6,0,2024-08
16,Food,1430.8,0,2024-09
16,Travel,408.8,0,2024-09
16,Leisure,613.2,0,2024-09
16,Education,817.6,0,2024-09
16,Other,817.6,0,2024-09
16,Food,1430.8,0,2024-10
16,Travel,408.8,0,2024-10
16,Leisure,613.2,0,2024-10
16,Education,817.6,0,2024-10
16,Other,817.6,0,2024-10
16,Food,1430.8,0,2024-11
16,Travel,408.8,0,2024-11
16,Leisure,613.2,0,2024-11
16,Education,817.6,0,2024-11
16,Other,817.6,0,2024-11
16,Food,1430.8,0,2024-12
16,Travel,408.8,0,2024-12
16,Leisure,613.2,0,2024-12
16,Education,817.6,0,2024-12
16,Other,817.6,0,2024-12
16,Food,1430.8,0,2025-01
16,Travel,408.8,0,2025-01
16,Leisure,613.2,0,2025-01
16,Education,817.6,0,2025-01
16,Other,817.6,0,2025-01
17,Food,522.93,0,2024-08
17,Travel,149.41,0,2024-08
17,Leisure,224.11,0,2024-08
17,Education,298.82,0,2024-08
17,Other,298.82,0,2024-08
17,Food,522.93,0,2024-09
17,Travel,149.41,0,2024-09
17,Leisure,224.11,0,2024-09
17,Education,298.82,0,2024-09
17,Other,298.82,0,2024-09
17,Food,522.93,0,2024-10
17,Travel,149.41,0,2024-10
17,Leisure,224.11,0,2024-10
17,Education,298.82,0,2024-10
17,Other,298.82,0,2024-10
17,Food,522.93,0,2024-11
17,Travel,149.41,0,2024-11
17,Leisure,224.11,0,2024-11
17,Education,298.82,0,2024-11
17,Other,298.82,0,2024-11
17,Food,522.93,0,2024-12
17,Travel,149.41,0,2024-12
17,Leisure,224.11,0,2024-12
17,Education,298.82,0,2024-12
17,Other,298.82,0,2024-12
17,Food,522.93,0,2025-01
17,Travel,149.41,0,2025-01
17,Leisure,224.11,0,2025-01
17,Education,298.82,0,2025-01
17,Other,298.82,0,2025-01
18,Food,1089.32,0,2024-08
18,Travel,311.23,0,2024-08
18,Leisure,466.85,0,2024-08
18,Education,622.47,0,2024-08
18,Other,622.47,0,2024-08
18,Food,1089.32,0,2024-09
18,Travel,311.23,0,2024-09
18,Leisure,466.85,0,2024-09
18,Education,622.47,0,2024-09
18,Other,622.47,0,2024-09
18,Food,1089.32,0,2024-10
18,Travel,311.23,0,2024-10
18,Leisure,466.85,0,2024-10
18,Education,622.47,0,2024-10
18,Other,622.47,0,2024-10
18,Food,1089.32,0,2024-11
18,Travel,311.23,0,2024-11
18,Leisure,466.85,0,2024-11
18,Education,622.47,0,2024-11
18,Other,622.47,0,2024-11
18,Food,1089.32,0,2024-12
18,Travel,311.23,0,2024-12
18,Leisure,466.85,0,2024-12
18,Education,622.47,0,2024-12
18,Other,622.47,0,2024-12
18,Food,1089.32,0,2025-01
18,Travel,311.23,0,2025-01
18,Leisure,466.85,0,2025-01
18,Education,622.47,0,2025-01
18,Other,622.47,0,2025-01
19,Food,1271.31,0,2024-08
19,Travel,363.23,0,2024-08
19,Leisure,544.85,0,2024-08
19,Education,726.46,0,2024-08
19,Other,726.46,0,2024-08
19,Food,1271.31,0,2024-09
19,Travel,363.23,0,2024-09
19,Leisure,544.85,0,2024-09
19,Education,726.46,0,2024-09
19,Other,726.46,0,2024-09
19,Food,1271.31,0,2024-10
19,Travel,363.23,0,2024-10
19,Leisure,544.85,0,2024-10
19,Education,726.46,0,2024-10
19,Other,726.46,0,2024-10
19,Food,1271.31,0,2024-11
19,Travel,363.23,0,2024-11
19,Leisure,544.85,0,2024-11
19,Education,726.46,0,2024-11
19,Other,726.46,0,2024-11
19,Food,1271.31,0,2024-12
19,Travel,363.23,0,2024-12
19,Leisure,544.85,0,2024-12
19,Education,726.46,0,2024-12
19,Other,726.46,0,2024-12
19,Food,1271.31,0,2025-01
19,Travel,363.23,0,2025-01
19,Leisure,544.85,0,2025-01
19,Education,726.46,0,2025-01
19,Other,726.46,0,2025-01
20,Food,1170.11,0,2024-08
20,Travel,334.32,0,2024-08
20,Leisure,501.47,0,2024-08
20,Education,668.63,0,2024-08
20,Other,668.63,0,2024-08
20,Food,1170.11,0,2024-09
20,Travel,334.32,0,2024-09
20,Leisure,501.47,0,2024-09
20,Education,668.63,0,2024-09
20,Other,668.63,0,2024-09
20,Food,1170.11,0,2024-10
20,Travel,334.32,0,2024-10
20,Leisure,501.47,0,2024-10
20,Education,668.63,0,2024-10
20,Other,668.63,0,2024-10
20,Food,1170.11,0,2024-11
20,Travel,334.32,0,2024-11
20,Leisure,501.47,0,2024-11
20,Education,668.63,0,2024-11
20,Other,668.63,0,2024-11
20,Food,1170.11,0,2024-12
20,Travel,334.32,0,2024-12
20,Leisure,501.47,0,2024-12
20,Education,668.63,0,2024-12
20,Other,668.63,0,2024-12
20,Food,1170.11,0,2025-01
20,Travel,334.32,0,2025-01
20,Leisure,501.47,0,2025-01
20,Education,668.63,0,2025-01
20,Other,668.63,0,2025-01
21,Food,120.15,0,2024-08
21,Travel,96.12,0,2024-08
21,Leisure,144.19,0,2024-08
21,Education,48.06,0,2024-08
21,Other,72.09,0,2024-08
21,Food,120.15,0,2024-09
21,Travel,96.12,0,2024-09
21,Leisure,144.19,0,2024-09
21,Education,48.06,0,2024-09
21,Other,72.09,0,2024-09
