user_id,amount,category,mood,date,description
1,704.95,Education,Neutral,2024-08-01,Day fact modern.
1,3156.41,Education,Excited,2024-08-01,Table trade various risk art.
1,1252.26,Education,Happy,2024-08-02,Among black picture that treat.
1,29627.01,Food,Stressed,2024-08-02,Within woman.
1,406.2,Other,Stressed,2024-08-02,Pattern ahead compare form full.
1,2347.1,Other,Sad,2024-08-03,Maintain assume both long.
1,424.9,Other,Neutral,2024-08-04,Section child.
1,23148.1,Other,Neutral,2024-08-05,Southern evening ask republican.
1,1000.0,Leisure,Stressed,2024-08-06,Stop later reveal both.
1,5048.35,Education,Stressed,2024-08-07,Pretty skin main program.
1,1247.01,Other,Happy,2024-08-08,Son rock two.
1,228.09,Travel,Excited,2024-08-09,Edge building court.
1,2211.52,Leisure,Sad,2024-08-10,Recent couple cost girl run.
1,1990.84,Food,Stressed,2024-08-11,Less into per big.
1,1527.57,Travel,Stressed,2024-08-11,Statement position either.
1,1669.4,Leisure,Happy,2024-08-12,Indicate herself.
1,6353.08,Leisure,Stressed,2024-08-12,Half president structure might.
1,270.47,Travel,Neutral,2024-08-12,Drive nation heart nearly season.
1,2126.71,Leisure,Happy,2024-08-13,Ever day.
1,24.57,Leisure,Happy,2024-08-14,Society dark product make.
1,1589.7,Education,Neutral,2024-08-14,Within prove full.
1,6466.34,Leisure,Stressed,2024-08-15,Rate society floor long same.
1,3273.56,Food,Happy,2024-08-15,You ready way rule.
1,719.78,Leisure,Stressed,2024-08-18,Sign wall.
1,4341.58,Leisure,Stressed,2024-08-18,Country remember smile.
1,2632.36,Leisure,Stressed,2024-08-18,Together knowledge.
1,86.87,Education,Stressed,2024-08-18,Able teach certain candidate economy.
1,4360.06,Other,Stressed,2024-08-19,Begin treat stage this.
1,1992.46,Leisure,Excited,2024-08-19,Together knowledge.
1,1690.16,Food,Stressed,2024-08-20,Eye something.
1,2874.91,Leisure,Neutral,2024-08-21,Statement available win politics.
1,2895.97,Other,Excited,2024-08-21,Quality throughout.
1,771.42,Leisure,Happy,2024-08-24,Market specific property coach.
1,468.99,Leisure,Excited,2024-08-24,Surface expect several evening town.
1,159.73,Food,Neutral,2024-08-24,Focus chance.
1,1327.63,Leisure,Stressed,2024-08-25,Draw police.
1,12244.26,Travel,Neutral,2024-08-26,Player really act friend.
1,870.86,Travel,Sad,2024-08-27,Training occur could painting.
1,1193.33,Leisure,Stressed,2024-08-28,Medical nearly.
1,299.78,Education,Excited,2024-08-28,Find job where.
1,3726.6,Other,Happy,2024-08-28,On professional analysis color.
1,2354.65,Leisure,Stressed,2024-08-28,A value lot.
1,4596.7,Travel,Neutral,2024-08-29,Do interesting material.
1,350.07,Education,Stressed,2024-08-29,Bed recognize store.
1,2500.52,Travel,Stressed,2024-08-29,Begin deep police wife.
1,84.13,Education,Neutral,2024-08-30,Carry fly water cut fire.
1,6691.02,Leisure,Stressed,2024-09-01,Which raise american truth.
1,961.35,Other,Sad,2024-09-01,Control piece behavior message wind.
1,4873.9,Leisure,Neutral,2024-09-02,Different international sell several.
1,3401.31,Other,Excited,2024-09-03,Theory tend.
1,4031.6,Other,Sad,2024-09-03,Cell year.
1,59.38,Education,Neutral,2024-09-03,Carry fly water cut fire.
1,1554.7,Education,Happy,2024-09-04,Development the inside thought.
1,3295.9,Leisure,Sad,2024-09-05,Task improve fish.
1,3447.87,Travel,Stressed,2024-09-05,Improve them wait.
