user_id,month,persona,total_spend,total_income,txn_count,avg_txn,max_txn,std_txn,pct_food,pct_travel,pct_leisure,pct_education,pct_other,weekend_ratio,happy_spend_avg,happy_txn_count,sad_spend_avg,sad_txn_count,stressed_spend_avg,stressed_txn_count,neutral_spend_avg,neutral_txn_count,excited_spend_avg,excited_txn_count,dominant_mood,adherence_food,adherence_travel,adherence_leisure,adherence_education,adherence_other,overspent_any_category,overspent_food,overspent_travel,overspent_leisure,overspent_education,overspent_other,sub_count,sub_total_cost,inactive_ratio,spending_trend,debt_to_income_ratio,credit_score,savings_to_income_ratio
1,2024-08,IMPULSIVE_SPENDER,4078.41,4509.89,46,88.66,1119.5,172.31,0.3404,0.1571,0.2982,0.0817,0.1226,0.1583,45.79,8,41.78,3,127.1,19,95.85,10,35.57,6,Stressed,1.2778,1.1794,1.1194,0.9202,0.9202,1,1,1,1,0,0,1,9.99,0.0,-40.62,0.0,487,4.56
1,2024-09,IMPULSIVE_SPENDER,4235.44,4509.89,49,86.44,605.13,115.33,0.318,0.1437,0.2998,0.0735,0.165,0.5923,51.57,9,66.73,4,113.15,14,68.87,12,109.39,10,Stressed,1.2398,1.1205,1.1686,0.8593,1.2865,1,1,1,1,0,1,1,9.99,0.0,-40.62,0.0,487,4.56
1,2024-10,IMPULSIVE_SPENDER,3494.16,4509.89,41,85.22,967.91,151.92,0.294,0.1449,0.29,0.1023,0.1689,0.9876,129.84,5,62.15,6,128.41,15,38.82,10,31.54,5,Stressed,0.9455,0.9318,0.9325,0.9869,1.0861,1,0,0,0,0,1,1,9.99,0.0,-40.62,0.0,487,4.56
1,2024-11,IMPULSIVE_SPENDER,3575.7,4509.89,40,89.39,338.85,87.42,0.2981,0.171,0.2773,0.0994,0.1542,0.4267,66.85,8,142.52,7,109.7,14,49.6,8,36.89,3,Stressed,0.9811,1.1253,0.9128,0.9815,1.0149,1,0,1,0,0,1,1,9.99,0.0,-40.62,0.0,487,4.56
1,2024-12,IMPULSIVE_SPENDER,3870.76,4509.89,48,80.64,510.51,112.32,0.3378,0.1319,0.3036,0.1045,0.1222,0.2695,50.46,8,26.64,2,96.51,22,49.19,12,175.08,4,Stressed,1.2033,0.9399,1.0815,1.1172,0.8709,1,1,0,1,1,0,1,9.99,0.0,-40.62,0.0,487,4.56
1,2025-01,IMPULSIVE_SPENDER,3996.54,4509.89,39,102.48,537.96,115.37,0.2519,0.1195,0.3472,0.1164,0.165,0.3458,67.62,5,160.72,5,128.49,18,36.54,6,64.56,5,Stressed,0.9267,0.8793,1.277,1.2846,1.2138,1,0,0,1,1,1,1,9.99,0.0,-40.62,0.0,487,4.56
2,2024-08,IMPULSIVE_SPENDER,2703.91,3893.78,39,69.33,286.67,76.39,0.2661,0.1724,0.312,0.0898,0.1597,0.2581,94.41,5,87.96,4,70.12,19,57.06,9,17.08,2,Stressed,0.894,1.1579,1.0481,0.9049,1.0729,1,0,1,1,0,1,2,39.99,0.0,23.14,0.0,450,8.15
2,2024-09,IMPULSIVE_SPENDER,3028.79,3893.78,26,116.49,365.34,96.17,0.3347,0.1284,0.3051,0.0877,0.1441,0.435,233.44,3,74.4,2,124.1,8,86.26,6,95.62,7,Stressed,1.2592,0.9664,1.1481,0.9903,1.084,1,1,0,1,0,1,2,39.99,0.0,23.14,0.0,450,8.15
2,2024-10,IMPULSIVE_SPENDER,3079.56,3893.78,42,73.32,465.4,88.61,0.2439,0.1681,0.3134,0.1109,0.1637,0.381,69.84,9,82.18,7,67.2,13,74.09,9,83.84,4,Stressed,0.9332,1.2863,1.1988,1.2728,1.2527,1,0,1,1,1,1,2,39.99,0.0,23.14,0.0,450,8.15
2,2024-11,IMPULSIVE_SPENDER,2766.07,3893.78,40,69.15,522.01,100.89,0.3681,0.1295,0.273,0.0844,0.145,0.1444,35.86,5,76.36,7,100.85,16,32.57,10,56.51,2,Stressed,1.2648,0.8898,0.9382,0.8704,0.9964,1,1,0,0,0,0,2,39.99,0.0,23.14,0.0,450,8.15
2,2024-12,IMPULSIVE_SPENDER,2790.54,3893.78,45,62.01,330.9,83.55,0.2804,0.1764,0.2915,0.0939,0.1578,0.1869,116.39,8,35.65,7,58.65,15,26.19,8,74.38,7,Happy,0.9721,1.2229,1.0105,0.9764,1.0942,1,0,1,1,0,1,2,39.99,0.0,23.14,0.0,450,8.15
