user_id,provider,cost,frequency,last_used_date,active,provider_key,category
1,Spotify,9.99,MONTHLY,2025-01-28,True,spotify,MUSIC
2,Gym,30.0,MONTHLY,2025-01-19,True,puregym,GYM
2,Spotify,9.99,MONTHLY,2025-01-30,True,spotify,MUSIC
3,YouTube Premium,12.99,MONTHLY,2025-01-20,True,youtube,STREAMING
3,Disney+,7.99,MONTHLY,2025-01-31,True,disney,STREAMING
3,Spotify,9.99,MONTHLY,2025-01-28,True,spotify,MUSIC
4,Gym,30.0,MONTHLY,2025-01-23,True,puregym,GYM
5,YouTube Premium,12.99,MONTHLY,2025-01-24,True,youtube,STREAMING
5,Spotify,9.99,MONTHLY,2025-01-17,True,spotify,MUSIC
5,HBO Max,9.99,MONTHLY,2025-01-24,True,hbo,STREAMING
6,Spotify,9.99,MONTHLY,2025-01-29,True,spotify,MUSIC
7,Disney+,7.99,MONTHLY,2025-01-26,True,disney,STREAMING
7,Apple Music,10.99,MONTHLY,2025-01-27,True,apple,MUSIC
7,YouTube Premium,12.99,MONTHLY,2025-01-29,True,youtube,STREAMING
8,Spotify,9.99,MONTHLY,2025-01-17,True,spotify,MUSIC
9,HBO Max,9.99,MONTHLY,2025-01-23,True,hbo,STREAMING
10,Amazon Prime,8.99,MONTHLY,2025-01-22,True,prime,STREAMING
11,Gym,30.0,MONTHLY,2025-01-20,True,puregym,GYM
12,Spotify,9.99,MONTHLY,2025-01-31,True,spotify,MUSIC
13,Netflix,10.99,MONTHLY,2025-01-30,True,netflix,STREAMING
14,HBO Max,9.99,MONTHLY,2025-01-28,True,hbo,STREAMING
14,Spotify,9.99,MONTHLY,2025-01-28,True,spotify,MUSIC
15,Spotify,9.99,MONTHLY,2025-01-30,True,spotify,MUSIC
15,Apple Music,10.99,MONTHLY,2025-01-30,True,apple,MUSIC
15,HBO Max,9.99,MONTHLY,2025-01-18,True,hbo,STREAMING
16,Amazon Prime,8.99,MONTHLY,2025-01-20,True,prime,STREAMING
16,YouTube Premium,12.99,MONTHLY,2025-01-28,True,youtube,STREAMING
17,Gym,30.0,MONTHLY,2025-01-17,True,puregym,GYM
17,HBO Max,9.99,MONTHLY,2025-01-17,True,hbo,STREAMING
18,Spotify,9.99,MONTHLY,2025-01-20,True,spotify,MUSIC
18,Netflix,10.99,MONTHLY,2025-01-29,True,netflix,STREAMING
19,Disney+,7.99,MONTHLY,2025-01-29,True,disney,STREAMING
20,Apple Music,10.99,MONTHLY,2025-01-29,True,apple,MUSIC
21,Gym,30.0,MONTHLY,2025-01-19,True,puregym,GYM
21,Spotify,9.99,MONTHLY,2025-01-29,True,spotify,MUSIC
21,Apple Music,10.99,MONTHLY,2025-01-31,True,apple,MUSIC
22,Disney+,7.99,MONTHLY,2025-01-19,True,disney,STREAMING
22,Apple Music,10.99,MONTHLY,2025-01-28,True,apple,MUSIC
23,YouTube Premium,12.99,MONTHLY,2025-01-17,True,youtube,STREAMING
23,Netflix,10.99,MONTHLY,2025-01-29,True,netflix,STREAMING
23,Apple Music,10.99,MONTHLY,2025-01-27,True,apple,MUSIC
24,Amazon Prime,8.99,MONTHLY,2025-01-30,True,prime,STREAMING
24,Gym,30.0,MONTHLY,2025-01-17,True,puregym,GYM
24,HBO Max,9.99,MONTHLY,2025-01-22,True,hbo,STREAMING
25,Disney+,7.99,MONTHLY,2025-01-18,True,disney,STREAMING
25,Amazon Prime,8.99,MONTHLY,2025-01-27,True,prime,STREAMING
25,HBO Max,9.99,MONTHLY,2025-01-28,True,hbo,STREAMING
26,YouTube Premium,12.99,MONTHLY,2025-01-21,True,youtube,STREAMING
26,Netflix,10.99,MONTHLY,2025-01-28,True,netflix,STREAMING
26,Spotify,9.99,MONTHLY,2025-01-28,True,spotify,MUSIC
27,Spotify,9.99,MONTHLY,2025-01-19,True,spotify,MUSIC
28,Apple Music,10.99,MONTHLY,2025-01-24,True,apple,MUSIC
28,HBO Max,9.99,MONTHLY,2025-01-20,True,hbo,STREAMING
28,Disney+,7.99,MONTHLY,2025-01-24,True,disney,STREAMING
29,Gym,30.0,MONTHLY,2025-01-28,True,puregym,GYM
29,YouTube Premium,12.99,MONTHLY,2025-01-25,True,youtube,STREAMING
30,Apple Music,10.99,MONTHLY,2025-01-17,True,apple,MUSIC
30,HBO Max,9.99,MONTHLY,2025-01-25,True,hbo,STREAMING
31,HBO Max,9.99,MONTHLY,2024-09-11,True,hbo,STREAMING
31,Spotify,9.99,MONTHLY,2024-11-15,True,spotify,MUSIC
31,Disney+,7.99,MONTHLY,2024-10-04,True,disney,STREAMING
31,YouTube Premium,12.99,MONTHLY,2024-11-26,True,youtube,STREAMING
31,Netflix,10.99,MONTHLY,2025-01-25,True,netflix,STREAMING
31,Apple Music,10.99,MONTHLY,2025-01-28,True,apple,MUSIC
31,Amazon Prime,8.99,MONTHLY,2025-01-26,True,prime,STREAMING
31,Gym,30.0,MONTHLY,2025-01-19,True,puregym,GYM
32,Gym,30.0,MONTHLY,2024-09-04,True,puregym,GYM
32,Amazon Prime,8.99,MONTHLY,2024-08-26,True,prime,STREAMING
32,YouTube Premium,12.99,MONTHLY,2024-11-11,True,youtube,STREAMING
32,Netflix,10.99,MONTHLY,2025-01-22,True,netflix,STREAMING
32,Spotify,9.99,MONTHLY,2025-01-20,True,spotify,MUSIC
32,Apple Music,10.99,MONTHLY,2025-01-19,True,apple,MUSIC
33,YouTube Premium,12.99,MONTHLY,2024-09-29,True,youtube,STREAMING
33,Disney+,7.99,MONTHLY,2024-10-20,True,disney,STREAMING
33,Amazon Prime,8.99,MONTHLY,2024-08-16,True,prime,STREAMING
33,Gym,30.0,MONTHLY,2025-01-18,True,puregym,GYM
33,Netflix,10.99,MONTHLY,2025-01-30,True,netflix,STREAMING
34,Apple Music,10.99,MONTHLY,2024-10-28,True,apple,MUSIC
34,HBO Max,9.99,MONTHLY,2024-11-01,True,hbo,STREAMING
34,YouTube Premium,12.99,MONTHLY,2024-10-04,True,youtube,STREAMING
34,Disney+,7.99,MONTHLY,2024-09-15,True,disney,STREAMING
34,Gym,30.0,MONTHLY,2024-10-15,True,puregym,GYM
34,Spotify,9.99,MONTHLY,2024-11-29,True,spotify,MUSIC
34,Netflix,10.99,MONTHLY,2025-01-18,True,netflix,STREAMING
34,Amazon Prime,8.99,MONTHLY,2025-01-29,True,prime,STREAMING
35,Netflix,10.99,MONTHLY,2024-09-09,True,netflix,STREAMING
35,HBO Max,9.99,MONTHLY,2024-10-16,True,hbo,STREAMING
35,Gym,30.0,MONTHLY,2024-09-23,True,puregym,GYM
35,Spotify,9.99,MONTHLY,2024-10-19,True,spotify,MUSIC
35,Amazon Prime,8.99,MONTHLY,2024-08-29,True,prime,STREAMING
35,YouTube Premium,12.99,MONTHLY,2024-10-21,True,youtube,STREAMING
35,Apple Music,10.99,MONTHLY,2025-01-20,True,apple,MUSIC
35,Disney+,7.99,MONTHLY,2025-01-27,True,disney,STREAMING
36,Disney+,7.99,MONTHLY,2024-12-01,True,disney,STREAMING
36,Netflix,10.99,MONTHLY,2024-09-25,True,netflix,STREAMING
36,Spotify,9.99,MONTHLY,2024-10-28,True,spotify,MUSIC
36,Gym,30.0,MONTHLY,2024-11-26,True,puregym,GYM
36,YouTube Premium,12.99,MONTHLY,2024-10-26,True,youtube,STREAMING
36,Amazon Prime,8.99,MONTHLY,2025-01-29,True,prime,STREAMING
36,Apple Music,10.99,MONTHLY,2025-01-18,True,apple,MUSIC
36,HBO Max,9.99,MONTHLY,2025-01-24,True,hbo,STREAMING
37,Gym,30.0,MONTHLY,2024-11-01,True,puregym,GYM
37,Apple Music,10.99,MONTHLY,2024-09-22,True,apple,MUSIC
37,Disney+,7.99,MONTHLY,2024-10-10,True,disney,STREAMING
37,HBO Max,9.99,MONTHLY,2025-01-22,True,hbo,STREAMING
37,Netflix,10.99,MONTHLY,2025-01-22,True,netflix,STREAMING
38,Gym,30.0,MONTHLY,2024-10-11,True,puregym,GYM
38,Spotify,9.99,MONTHLY,2024-09-05,True,spotify,MUSIC
38,Apple Music,10.99,MONTHLY,2024-10-03,True,apple,MUSIC
38,Disney+,7.99,MONTHLY,2025-01-31,True,disney,STREAMING
38,Netflix,10.99,MONTHLY,2025-01-27,True,netflix,STREAMING
38,Amazon Prime,8.99,MONTHLY,2025-01-27,True,prime,STREAMING
38,HBO Max,9.99,MONTHLY,2025-01-18,True,hbo,STREAMING
39,Spotify,9.99,MONTHLY,2024-10-07,True,spotify,MUSIC
39,Amazon Prime,8.99,MONTHLY,2024-09-17,True,prime,STREAMING
39,YouTube Premium,12.99,MONTHLY,2024-08-11,True,youtube,STREAMING
39,Gym,30.0,MONTHLY,2024-08-30,True,puregym,GYM
39,Apple Music,10.99,MONTHLY,2024-09-16,True,apple,MUSIC
39,HBO Max,9.99,MONTHLY,2024-11-29,True,hbo,STREAMING
39,Disney+,7.99,MONTHLY,2025-01-28,True,disney,STREAMING
40,Spotify,9.99,MONTHLY,2024-10-21,True,spotify,MUSIC
40,Amazon Prime,8.99,MONTHLY,2024-09-05,True,prime,STREAMING
40,Gym,30.0,MONTHLY,2024-10-27,True,puregym,GYM
40,Apple Music,10.99,MONTHLY,2024-08-04,True,apple,MUSIC
40,YouTube Premium,12.99,MONTHLY,2024-08-20,True,youtube,STREAMING
40,HBO Max,9.99,MONTHLY,2024-09-23,True,hbo,STREAMING
40,Netflix,10.99,MONTHLY,2025-01-24,True,netflix,STREAMING
40,Disney+,7.99,MONTHLY,2025-01-26,True,disney,STREAMING
41,Disney+,7.99,MONTHLY,2025-01-24,True,disney,STREAMING
42,Disney+,7.99,MONTHLY,2025-01-20,True,disney,STREAMING
42,HBO Max,9.99,MONTHLY,2025-01-25,True,hbo,STREAMING
43,Disney+,7.99,MONTHLY,2025-01-27,True,disney,STREAMING
43,Apple Music,10.99,MONTHLY,2025-01-27,True,apple,MUSIC
43,Netflix,10.99,MONTHLY,2025-01-22,True,netflix,STREAMING
44,Apple Music,10.99,MONTHLY,2025-01-31,True,apple,MUSIC
45,Gym,30.0,MONTHLY,2025-01-25,True,puregym,GYM
46,Spotify,9.99,MONTHLY,2025-01-28,True,spotify,MUSIC
47,YouTube Premium,12.99,MONTHLY,2025-01-19,True,youtube,STREAMING
48,HBO Max,9.99,MONTHLY,2025-01-21,True,hbo,STREAMING
49,HBO Max,9.99,MONTHLY,2025-01-28,True,hbo,STREAMING
49,Netflix,10.99,MONTHLY,2025-01-22,True,netflix,STREAMING
50,YouTube Premium,12.99,MONTHLY,2025-01-28,True,youtube,STREAMING
50,Spotify,9.99,MONTHLY,2025-01-27,True,spotify,MUSIC
50,HBO Max,9.99,MONTHLY,2025-01-19,True,hbo,STREAMING
