user_id,monthly_income,savings,debt_to_income_ratio,credit_score
1,4509.89,246884.42,0.0,487
2,3893.78,380651.94,0.0,450
3,3528.7,78420.12,0.45,321
4,887.56,11007.6,0.0,554
5,7719.86,281686.47,0.7,522
6,3945.58,260075.81,3.5,456
7,6319.96,399142.39,0.0,350
8,1880.8,218908.0,2.56,409
9,3919.27,291419.81,0.0,350
10,6849.13,618008.76,0.0,304
11,5625.4,465606.95,0.0,686
12,4520.75,371935.41,0.98,661
13,5253.28,322206.41,0.0,785
14,2353.94,163570.59,0.0,717
15,6033.56,478247.92,0.0,701
16,5100.09,501990.04,0.0,672
17,2597.8,182414.75,2.35,772
18,3892.83,351113.53,0.0,758
19,4930.83,305340.43,0.0,799
20,4387.35,349436.15,0.0,776
21,1602.06,74292.26,3.47,547
22,1306.19,46869.39,1.74,599
23,5183.91,52477.96,0.0,417
24,6700.53,478158.01,0.0,675
25,1813.62,170648.67,0.0,728
26,4864.71,353904.34,0.0,320
27,2934.89,121730.17,0.0,684
28,1087.92,97593.43,0.0,538
29,1973.37,64408.12,0.0,506
30,3039.34,91913.65,0.0,339
31,4348.61,244487.68,0.0,585
32,7124.27,84835.41,0.66,415
33,6543.44,322130.63,0.53,589
34,5752.13,590869.72,0.0,813
35,6282.77,477945.64,0.07,702
36,4311.29,68137.67,2.45,522
37,4015.07,67366.76,0.0,842
38,4903.17,223783.36,1.04,505
39,984.33,40646.69,0.0,845
40,5698.25,337232.81,1.64,437
41,3780.64,73010.62,0.0,790
42,500.0,34455.63,7.46,821
43,5406.25,97180.01,2.63,804
44,6083.39,440984.9,0.0,849
45,5562.92,365279.31,0.0,844
46,7897.82,40364.96,0.0,792
47,3896.04,229132.86,0.28,591
48,1736.92,55957.31,10.81,639
49,500.0,40752.82,0.24,563
50,3742.96,251763.21,0.0,768
